"513689","4","Quake II funcionando en un navegador con HTML5 | Gizmologia","Manu Contreras ","2010-04-02","http://gizmologia.com/2010/04/quake-ii-funcionando-en-un-navegador-con-html5"
"513690","4","Quake II funcionando en un navegador con HTML5 | Geekzone!","webmaster ","2010-04-02","http://www.geekzone.com.ar/content/quake-ii-funcionando-en-un-navegador-con-html5"
"513691","4","Negative Seasonal Pattern Stocks on Friday the 2nd of April 2010","History ","2010-04-02","http://www.deepmarket.com/seasonal-patterns/negative-seasonal-pattern-stocks-on-friday-the-2nd-of-april-2010/"
"513692","4","MundoInform","...por Redacci","2010-04-02","http://mundoinformatica.portalmundos.com/google-muestra-como-se-ve-quake-ii-desarrollado-en-html5/"
"513693","4","Positive Seasonal Pattern Stocks on Friday the 2nd of April 2010","History ","2010-04-02","http://www.deepmarket.com/seasonal-patterns/positive-seasonal-pattern-stocks-on-friday-the-2nd-of-april-2010/"
"513694","4","Google &#3626;&#3634;&#3608;&#3636;&#3605;&#3585;&#3634;&#3619;&#3648;&#3621;&#3656;&#3609; Quake II &#3610;&#3609; HTML5 | Blognone","KnightBaron ","2010-04-02","http://www.blognone.com/node/15692"
"513695","4","Google demuestra como el juego Quake II funciona en tu navegador","Salva Castro ","2010-04-02","http://www.genbeta.com/multimedia/google-demuestra-como-el-juego-quake-ii-funciona-en-tu-navegador-con-html5"
"513696","4","Google demuestra como el juego Quake II funciona en tu navegador","Salva Castro ","2010-04-02","http://www.genbeta.com/default/google-demuestra-como-el-juego-quake-ii-funciona-en-tu-navegador-con-html5"
"513697","4","&#12371;&#12428;&#12364;HTML5&#12398;&#23455;&#21147;&#65281; &#12501;&#12523;3D&#12466;&#12540;&#12512;&#12300;Quake&#12301;&#12434;&#12502;&#12521;&#12454;&#12470;&#19978;&#12391;&#12503;&#12524;&#12452;&#12375;&#12390;","&#12509;&#12483;&#12489;&#12461;&#12515;&#12473;&#12488;&#37197;&#20449;&#32773;&#12398;&#12513;&#12540;&#12523;&#12450;... ","2010-04-02","http://www.gizmodo.jp/2010/04/html53dquake.html"
"513698","4","Minotaur Resources ","Mr Minotaur ","2010-04-02","http://minotaurresources.com.au/google-shows-how-html5-can-run-quake-in-the-browser/"
"513699","3","Moving into the Fourth Estate: Foolish April","Kashmir Hill ","2010-04-02","http://kashmirhill.blogspot.com/2010/04/foolish-april.html"
"513700","3","Photoatomic Research Institute: APRIL FOOLS","Jeremy ","2010-04-02","http://photoatomic.blogspot.com/2010/04/april-fools.html"
"513701","3","Computer Professionals for April Foolishness: New York Times on iPad","Debora Weber-Wulff ","2010-04-02","http://cpfaf.blogspot.com/2010/04/new-york-times-on-ipad.html"
"513702","3","April Fools Reality ","Gerrit Eicker ","2010-04-02","http://wir-sprechen-online.com/2010/04/02/april-fools-reality/"