Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
Martin St. Louis,20032004,TBL,L,R,82,38,56,94,35,24,1.15,22,53,8,30,8,11,7,212,17.9,20:35,33.3
Ilya Kovalchuk,20032004,ATL,R,L,81,41,46,87,-10,63,1.07,24,52,16,33,1,2,6,341,12,23:06,32.1
Joe Sakic,20032004,COL,L,C,81,33,54,87,11,42,1.07,19,49,13,37,1,1,3,253,13,20:16,52.6
Markus Naslund,20032004,VAN,L,L,78,35,49,84,24,58,1.08,30,58,5,26,0,0,6,296,11.8,19:23,35.7
Marian Hossa,20032004,OTT,L,R,81,36,46,82,4,46,1.01,21,42,14,39,1,1,5,233,15.4,18:37,40
Patrik Elias,20032004,NJD,L,C,82,38,43,81,26,44,0.99,26,57,9,20,3,4,9,300,12.7,18:46,36.7
Daniel Alfredsson,20032004,OTT,R,R,77,32,48,80,12,24,1.04,23,41,9,38,0,1,5,230,13.9,19:24,24.2
Cory Stillman,20032004,TBL,L,L,81,25,55,80,18,36,0.99,13,53,11,26,1,1,6,178,14,19:32,31.6
Robert Lang,20032004,"WSH,DET",R,C,69,30,49,79,4,24,1.14,20,42,10,37,0,0,3,163,18.4,21:04,45.6
Brad Richards,20032004,TBL,L,C,82,26,53,79,14,12,0.96,20,51,5,26,1,2,6,244,10.7,20:26,46.7
Alex Tanguay,20032004,COL,L,L,69,25,54,79,30,42,1.14,18,53,7,25,0,1,5,117,21.4,18:21,40.8
Milan Hejduk,20032004,COL,R,R,82,35,40,75,19,20,0.91,19,46,16,28,0,1,6,237,14.8,18:46,47.8
Mats Sundin,20032004,TOR,R,C,81,31,44,75,11,52,0.93,19,42,11,29,1,4,10,226,13.7,19:52,53
Mark Recchi,20032004,PHI,L,R,82,26,49,75,18,47,0.91,11,42,14,30,1,3,5,167,15.6,17:12,52.4
Jaromir Jagr,20032004,"WSH,NYR",L,R,77,31,43,74,-5,38,0.96,21,48,10,26,0,0,3,257,12.1,20:57,0
Jarome Iginla,20032004,CGY,R,R,81,41,32,73,21,84,0.9,29,47,8,21,4,5,10,265,15.5,21:18,54.4
Steve Sullivan,20032004,"CHI,NSH",R,L,80,24,49,73,1,48,0.91,11,42,11,28,2,3,4,218,11,20:56,44
Joe Thornton,20032004,BOS,L,C,77,23,50,73,18,98,0.95,19,57,4,16,0,0,6,187,12.3,21:38,56.3
Keith Tkachuk,20032004,STL,L,L,75,33,38,71,8,83,0.95,15,39,18,32,0,0,8,233,14.2,19:39,49.5
Scott Gomez,20032004,NJD,L,C,80,14,56,70,18,70,0.88,11,54,3,16,0,0,1,189,7.4,16:00,46.1
Bill Guerin,20032004,DAL,R,R,82,34,35,69,14,109,0.84,25,47,9,22,0,0,10,263,12.9,18:42,18.8
Martin Havlat,20032004,OTT,L,R,68,31,37,68,12,46,1,18,38,13,30,0,0,7,175,17.7,16:44,36.4
Pavel Datsyuk,20032004,DET,L,C,75,30,38,68,-2,35,0.91,21,44,8,23,1,1,4,136,22.1,18:16,54
Shane Doan,20032004,PHX,R,R,79,27,41,68,-11,47,0.86,16,38,9,27,2,3,1,254,10.6,21:46,40
Brett Hull,20032004,DET,R,R,81,25,43,68,-4,12,0.84,15,45,10,23,0,0,6,200,12.5,16:54,42.9
Scott Walker,20032004,NSH,R,R,75,25,42,67,4,94,0.89,13,38,9,24,3,5,3,157,15.9,20:03,41.4
Vincent Lecavalier,20032004,TBL,L,C,81,32,34,66,23,52,0.81,25,50,5,14,2,2,6,242,13.2,18:04,41.4
Sergei Fedorov,20032004,ANA,L,C,80,31,34,65,-5,42,0.81,20,37,9,26,2,2,6,268,11.6,21:05,56.6
Daniel Briere,20032004,BUF,R,C,82,28,37,65,-7,70,0.79,17,38,11,27,0,0,3,194,14.4,18:20,47.1
Mike Ribeiro,20032004,MTL,L,C,81,20,45,65,15,34,0.8,13,41,7,24,0,0,5,103,19.4,17:05,44.8
Doug Weight,20032004,STL,L,C,75,14,51,65,-3,37,0.87,8,33,6,31,0,1,5,198,7.1,20:25,50.4
Michael Ryder,20032004,MTL,R,R,81,25,38,63,10,26,0.78,15,40,10,23,0,0,4,215,11.6,16:00,24
Glen Murray,20032004,BOS,R,R,81,32,28,60,17,56,0.74,21,46,11,14,0,0,9,260,12.3,20:56,35.9
Brendan Morrison,20032004,VAN,L,C,82,22,38,60,16,50,0.73,16,45,5,14,1,1,4,161,13.7,20:08,51
Todd Bertuzzi,20032004,VAN,L,R,69,17,43,60,21,122,0.87,9,44,8,16,0,0,2,156,10.9,21:00,45
Ryan Smyth,20032004,EDM,L,L,82,23,36,59,11,70,0.72,13,38,8,18,2,3,6,245,9.4,19:39,47.1
Olli Jokinen,20032004,FLA,L,C,82,26,32,58,-16,81,0.71,16,32,8,24,2,2,8,280,9.3,22:35,47.1
Pavol Demitra,20032004,STL,L,R,68,23,35,58,1,18,0.85,15,37,8,21,0,0,5,179,12.8,20:30,47.3
Michal Handzus,20032004,PHI,L,C,82,20,38,58,18,82,0.71,12,35,7,22,1,1,2,135,14.8,18:43,49.9
Sergei Gonchar,20032004,"WSH,BOS",L,D,71,11,47,58,-14,56,0.82,5,24,6,34,0,0,0,161,6.8,27:12:00,--
Rick Nash,20032004,CBJ,L,L,80,41,16,57,-35,87,0.71,22,28,19,29,0,0,7,269,15.2,17:38,28.6
Freddy Modin,20032004,TBL,L,L,82,29,28,57,31,32,0.7,23,47,5,6,1,4,2,206,14.1,18:12,38.4
Miroslav Satan,20032004,BUF,L,R,82,29,28,57,-15,30,0.7,17,30,11,26,1,1,5,206,14.1,20:02,22.2
Patrick Marleau,20032004,SJS,L,L,80,28,29,57,-5,24,0.71,19,35,9,21,0,1,5,220,12.7,18:12,41.6
Jason Arnott,20032004,DAL,R,C,73,21,36,57,23,66,0.78,16,43,5,14,0,0,5,143,14.7,17:00,53
Bobby Holik,20032004,NYR,R,C,82,25,31,56,4,96,0.68,17,41,8,15,0,0,4,225,11.1,18:34,54.1
John LeClair,20032004,PHI,L,L,75,23,32,55,20,51,0.73,15,39,8,16,0,0,4,182,12.6,16:06,33.3
Jason Spezza,20032004,OTT,R,C,78,22,33,55,22,71,0.71,17,42,5,13,0,0,3,142,15.5,14:38,47.7
Nisse Ekman,20032004,SJS,L,R,82,22,33,55,30,34,0.67,17,41,1,9,4,5,5,147,15,14:54,21.7
Tyler Arnason,20032004,CHI,L,C,82,22,33,55,-13,16,0.67,16,35,6,20,0,0,2,222,9.9,16:34,43.1
Peter Forsberg,20032004,COL,L,C,39,18,37,55,16,30,1.41,14,30,3,24,1,1,5,85,21.2,19:12,42.3
Shawn McEachern,20032004,ATL,L,L,82,17,38,55,5,76,0.67,11,32,5,18,1,5,3,176,9.7,20:14,44.2
Saku Koivu,20032004,MTL,L,C,68,14,41,55,-5,52,0.81,9,40,5,15,0,0,3,112,12.5,19:18,53.9
Vinny Prospal,20032004,ANA,L,L,82,19,35,54,-9,54,0.66,12,30,7,24,0,0,4,185,10.3,18:37,46.7
Daniel Sedin,20032004,VAN,L,L,82,18,36,54,18,18,0.66,17,38,1,16,0,0,3,153,11.8,13:33,47.9
Chris Pronger,20032004,STL,L,D,80,14,40,54,-1,88,0.68,7,20,7,31,0,3,3,203,6.9,27:28:00,0
Scott Niedermayer,20032004,NJD,L,D,81,14,40,54,20,44,0.67,5,26,9,25,0,3,3,165,8.5,25:44:00,0
Brendan Shanahan,20032004,DET,R,L,82,25,28,53,15,117,0.65,17,33,8,19,0,1,7,280,8.9,18:05,46.9
J-P Dumont,20032004,BUF,L,R,77,22,31,53,-9,40,0.69,12,36,10,17,0,0,1,156,14.1,17:00,43.8
David Vyborny,20032004,CBJ,L,R,82,22,31,53,-26,40,0.65,10,25,8,24,4,4,2,158,13.9,20:23,21.6
Tony Amonte,20032004,PHI,L,R,80,20,33,53,13,38,0.66,16,35,4,18,0,0,3,173,11.6,15:14,37.5
Chris Drury,20032004,BUF,R,C,76,18,35,53,8,68,0.7,12,33,5,16,1,4,2,152,11.8,18:04,54.9
Bryan McCabe,20032004,TOR,L,D,75,16,37,53,22,86,0.71,8,27,8,26,0,0,2,168,9.5,25:44:00,50
Marek Zidlicky,20032004,NSH,R,D,82,14,39,53,-16,82,0.65,5,18,9,35,0,0,4,143,9.8,20:02,--
Ladislav Nagy,20032004,PHX,L,L,55,24,28,52,11,46,0.95,13,30,11,22,0,0,6,160,15,18:10,42.4
Petr Sykora,20032004,ANA,L,R,81,23,29,52,-9,34,0.64,17,33,6,19,0,0,2,277,8.3,17:57,22.2
Valeri Bure,20032004,"FLA,DAL",R,R,68,22,30,52,3,26,0.76,14,34,8,18,0,0,4,209,10.5,18:58,38.7
Daymond Langkow,20032004,PHX,L,C,81,21,31,52,4,40,0.64,16,39,4,11,1,2,2,174,12.1,21:07,43.1
Vyacheslav Kozlov,20032004,ATL,L,L,76,20,32,52,-12,74,0.68,14,30,6,22,0,0,1,191,10.5,20:20,32.3
Marc Savard,20032004,ATL,L,C,45,19,33,52,-8,85,1.16,12,33,6,18,1,1,3,133,14.3,22:19,49.9
Dick Tarnstrom,20032004,PIT,L,D,80,16,36,52,-37,38,0.65,4,14,12,38,0,0,0,158,10.1,24:03:00,--
Jochen Hecht,20032004,BUF,L,C,64,15,37,52,17,49,0.81,12,36,2,15,1,1,0,174,8.6,19:00,43.3
Trent Hunter,20032004,NYI,R,R,77,25,26,51,23,16,0.66,21,41,4,10,0,0,7,187,13.4,15:39,36.8
Luc Robitaille,20032004,LAK,L,L,80,22,29,51,4,56,0.64,10,30,12,21,0,0,4,221,9.9,16:41,0
Alexandre Daigle,20032004,MIN,L,R,78,20,31,51,-4,14,0.65,14,34,6,17,0,0,3,145,13.8,15:10,51.4
Steve Yzerman,20032004,DET,R,C,75,18,33,51,10,46,0.68,11,32,7,18,0,1,3,141,12.8,17:32,55.3
Brian Leetch,20032004,"NYR,TOR",L,D,72,15,36,51,6,34,0.71,9,19,5,30,1,2,2,206,7.3,25:36:00,--
Oleg Kvasha,20032004,NYI,R,C,81,15,36,51,4,48,0.63,7,25,5,22,3,4,3,147,10.2,17:52,38.3
Richard Zednik,20032004,MTL,L,R,81,26,24,50,5,63,0.62,19,36,7,14,0,0,9,218,11.9,17:30,50
Joe Nieuwendyk,20032004,TOR,L,C,64,22,28,50,7,26,0.78,11,29,10,20,1,1,5,131,16.8,15:38,60.4
Aleksey Morozov,20032004,PIT,L,R,75,16,34,50,-24,24,0.67,8,25,8,25,0,0,5,132,12.1,16:34,--
Radek Dvorak,20032004,EDM,R,R,78,15,35,50,18,26,0.64,9,42,6,8,0,0,0,188,8,16:56,29.2
Peter Bondra,20032004,"WSH,OTT",L,R,77,26,23,49,-16,38,0.64,12,24,14,25,0,0,5,188,13.8,18:37,16.7
Brenden Morrow,20032004,DAL,L,L,81,25,24,49,10,121,0.6,16,36,9,12,0,1,3,132,18.9,19:24,47.4
Mariusz Czerkawski,20032004,NYI,R,R,81,25,24,49,8,16,0.6,16,33,9,16,0,0,2,157,15.9,13:02,16.7
Martin Erat,20032004,NSH,L,R,76,16,33,49,10,38,0.64,12,35,4,14,0,0,2,137,11.7,15:00,29
Andrew Brunette,20032004,MIN,L,L,82,15,34,49,3,12,0.6,8,30,7,19,0,0,3,90,16.7,15:32,46.9
Gary Roberts,20032004,TOR,L,L,72,28,20,48,9,84,0.67,16,26,11,20,1,2,7,124,22.6,17:33,33.3
Alex Frolov,20032004,LAK,R,L,77,24,24,48,8,24,0.62,17,32,5,13,2,3,3,168,14.3,17:13,32.4
Brian Rolston,20032004,BOS,L,R,82,19,29,48,9,40,0.59,14,30,3,15,2,3,3,257,7.4,19:38,50.7
Owen Nolan,20032004,TOR,R,R,65,19,29,48,4,110,0.74,10,30,7,16,2,2,3,154,12.3,17:57,53.3
Jonathan Cheechoo,20032004,SJS,R,R,81,28,19,47,5,33,0.58,20,32,8,15,0,0,9,175,16,16:12,14.3
Jason Blake,20032004,NYI,L,L,75,22,25,47,11,56,0.63,17,35,1,5,4,7,3,243,9.1,18:49,41.4
Alyn McCauley,20032004,SJS,L,C,82,20,27,47,23,28,0.57,15,37,5,9,0,1,4,146,13.7,16:51,47.7
Jeremy Roenick,20032004,PHI,R,C,62,19,28,47,1,62,0.76,8,24,10,22,1,1,1,128,14.8,17:37,51.5
David Legwand,20032004,NSH,L,C,82,18,29,47,9,46,0.57,12,34,5,12,1,1,5,165,10.9,17:17,45.1
Bryan Berard,20032004,CHI,L,D,58,13,34,47,-24,53,0.81,7,22,6,25,0,0,0,203,6.4,21:46,--
Craig Conroy,20032004,CGY,R,C,63,8,39,47,13,44,0.75,6,29,2,14,0,4,0,112,7.1,19:13,53.9
Mike Knuble,20032004,BOS,R,R,82,21,25,46,19,32,0.56,17,35,4,11,0,0,3,192,10.9,18:47,31.5
Jeff Halpern,20032004,WSH,R,C,79,19,27,46,-21,56,0.58,12,27,7,18,0,1,2,114,16.7,19:03,54.3
Petr Nedved,20032004,"NYR,EDM",L,C,81,19,27,46,-8,46,0.57,12,28,7,17,0,1,3,190,10,18:43,48.2
Bryan Smolinski,20032004,OTT,R,C,80,19,27,46,22,49,0.57,15,34,4,11,0,1,3,182,10.4,16:39,44.7
Mathieu Schneider,20032004,DET,L,D,78,14,32,46,22,56,0.59,9,25,4,20,1,1,4,165,8.5,24:29:00,0
Rob Blake,20032004,COL,R,D,74,13,33,46,6,61,0.62,5,19,8,26,0,1,3,242,5.4,24:23:00,0
Simon Gagne,20032004,PHI,L,L,80,24,21,45,12,29,0.56,18,31,6,14,0,0,6,211,11.4,16:27,39.4
Mark Bell,20032004,CHI,L,C,82,21,24,45,-14,106,0.55,19,34,2,11,0,0,1,202,10.4,17:37,48.3
Josef Vasicek,20032004,CAR,L,C,82,19,26,45,-3,60,0.55,13,30,6,15,0,0,5,161,11.8,17:06,48.9
Alex Kovalev,20032004,"NYR,MTL",L,R,78,14,31,45,-9,66,0.58,11,32,3,12,0,1,1,207,6.8,19:00,48.4
Martin Rucinsky,20032004,"NYR,VAN",L,L,82,14,31,45,15,72,0.55,13,39,0,4,1,2,2,206,6.8,18:53,12.5
Tuomo Ruutu,20032004,CHI,L,L,82,23,21,44,-31,58,0.54,13,27,10,17,0,0,3,174,13.2,16:24,46.4
Mike Modano,20032004,DAL,L,C,76,14,30,44,-21,46,0.58,8,21,6,21,0,2,0,152,9.2,20:27,52.6
Adrian Aucoin,20032004,NYI,R,D,81,13,31,44,29,54,0.54,9,27,4,17,0,0,2,213,6.1,26:38:00,--
Radek Bonk,20032004,OTT,L,C,66,12,32,44,2,66,0.67,6,17,6,27,0,0,1,98,12.2,17:38,44.9
Kimmo Timonen,20032004,NSH,L,D,77,12,32,44,-7,52,0.57,4,13,8,30,0,1,1,180,6.7,23:52,0
Justin Williams,20032004,"PHI,CAR",R,R,79,11,33,44,12,64,0.56,7,33,4,11,0,0,1,203,5.4,16:52,33.3
Ryan Malone,20032004,PIT,L,L,81,22,21,43,-23,64,0.53,14,26,5,13,3,4,4,139,15.8,18:41,27.4
Steve Rucchin,20032004,ANA,L,C,82,20,23,43,-14,12,0.52,10,25,9,17,1,1,1,148,13.5,19:46,53.6
Mark Messier,20032004,NYR,L,C,76,18,25,43,3,42,0.57,15,35,1,5,2,3,3,104,17.3,16:29,55
Trent Klatt,20032004,LAK,R,R,82,17,26,43,2,46,0.52,11,30,6,13,0,0,2,160,10.6,16:15,46.9
Wade Redden,20032004,OTT,L,D,81,17,26,43,21,65,0.53,5,21,12,22,0,0,3,175,9.7,24:54:00,--
Henrik Zetterberg,20032004,DET,L,C,61,15,28,43,15,14,0.7,7,26,7,13,1,4,2,137,10.9,18:15,45.6
Ray Whitney,20032004,DET,R,L,67,14,29,43,7,22,0.64,10,29,3,12,1,2,4,119,11.8,16:24,38.9
Shean Donovan,20032004,CGY,R,R,82,18,24,42,14,72,0.51,12,34,3,5,3,3,8,138,13,14:55,39.6
Erik Cole,20032004,CAR,L,L,80,18,24,42,-4,93,0.53,14,28,2,11,2,3,3,172,10.5,18:06,46.7
Mike York,20032004,EDM,R,L,61,16,26,42,18,15,0.69,13,27,1,10,2,5,0,144,11.1,19:17,45.9
Kim Johnsson,20032004,PHI,L,D,80,13,29,42,16,26,0.53,9,19,4,23,0,0,3,189,6.9,24:15:00,--
Henrik Sedin,20032004,VAN,L,C,76,11,31,42,23,32,0.55,9,29,2,13,0,0,2,99,11.1,14:02,50
Brent Sopel,20032004,VAN,R,D,80,10,32,42,11,36,0.53,4,23,6,18,0,1,2,173,5.8,21:56,--
Sergei Zubov,20032004,DAL,R,D,77,7,35,42,0,20,0.55,2,16,4,25,1,1,1,154,4.5,25:36:00,--
Paul Mara,20032004,PHX,L,D,81,6,36,42,-11,48,0.52,5,17,1,23,0,2,0,140,4.3,23:37,0
Marco Sturm,20032004,SJS,L,L,64,21,20,41,0,36,0.64,9,21,10,18,2,2,6,158,13.3,16:25,42.9
Matthew Barnaby,20032004,"NYR,COL",L,R,82,16,25,41,18,157,0.5,15,39,1,2,0,0,3,104,15.4,12:23,45.8
Zdeno Chara,20032004,OTT,L,D,79,16,25,41,33,147,0.52,9,24,7,14,0,3,3,185,8.7,24:38:00,--
Ziggy Palffy,20032004,LAK,L,R,35,16,25,41,18,12,1.17,10,20,3,17,3,4,2,109,14.7,21:32,0
Vincent Damphousse,20032004,SJS,L,C,82,12,29,41,-5,66,0.5,5,22,7,19,0,0,4,156,7.7,17:09,52.6
Kris Draper,20032004,DET,L,C,67,24,16,40,22,31,0.6,17,29,2,4,5,7,1,149,16.1,17:44,56.9
Milan Kraft,20032004,PIT,R,C,66,19,21,40,-22,18,0.61,13,23,6,17,0,0,1,134,14.2,15:16,47.4
Steve Konowalchuk,20032004,"WSH,COL",L,L,82,19,21,40,-3,70,0.49,16,31,3,9,0,0,3,152,12.5,18:04,47.3
Marian Gaborik,20032004,MIN,L,R,65,18,22,40,10,20,0.62,15,29,3,11,0,0,4,220,8.2,18:17,45.5
Sergei Samsonov,20032004,BOS,R,L,58,17,23,40,12,4,0.69,14,24,3,16,0,0,5,132,12.9,17:27,25
Shawn Horcoff,20032004,EDM,L,C,80,15,25,40,0,73,0.5,13,28,0,9,2,3,3,110,13.6,17:31,50.6
Pierre Turgeon,20032004,DAL,L,C,76,15,25,40,17,20,0.53,9,28,6,12,0,0,1,104,14.4,14:13,49.3
Patrik Stefan,20032004,ATL,L,C,82,14,26,40,-7,26,0.49,9,28,3,8,2,4,2,110,12.7,16:29,45.6
Ron Francis,20032004,"CAR,TOR",L,C,80,13,27,40,-9,14,0.5,6,20,7,20,0,0,2,91,14.3,15:49,56.2
Michael Peca,20032004,NYI,R,C,76,11,29,40,17,71,0.53,10,34,0,3,1,3,0,117,9.4,19:02,53.1
Kyle Calder,20032004,CHI,L,L,66,21,18,39,-18,29,0.59,11,25,10,14,0,0,1,144,14.6,17:08,30.8
Dave Andreychuk,20032004,TBL,R,L,82,21,18,39,-9,42,0.48,11,23,10,16,0,0,5,165,12.7,17:06,57.8
Ruslan Fedotenko,20032004,TBL,L,L,77,17,22,39,14,30,0.51,17,38,0,1,0,0,3,116,14.7,14:39,55.2
Patrice Bergeron,20032004,BOS,R,C,71,16,23,39,5,22,0.55,9,24,7,15,0,0,2,133,12,16:21,49.4
Peter Schaefer,20032004,OTT,L,L,81,15,24,39,22,26,0.48,11,31,2,6,2,2,3,112,13.4,15:36,23.1
Sean Hill,20032004,CAR,R,D,80,13,26,39,-2,84,0.49,7,19,6,19,0,1,1,228,5.7,25:24:00,50
Dan Boyle,20032004,TBL,R,D,78,9,30,39,23,60,0.5,6,24,3,15,0,0,2,137,6.6,22:46,--
Brad Stuart,20032004,SJS,L,D,77,9,30,39,9,34,0.51,4,20,5,19,0,0,0,129,7,22:09,--
Rod Brind'Amour,20032004,CAR,L,C,78,12,26,38,0,28,0.49,11,33,1,4,0,1,1,141,8.5,21:23,61.1
Nicklas Lidstrom,20032004,DET,L,D,81,10,28,38,19,18,0.47,6,14,3,21,1,3,3,194,5.2,27:16:00,--
Alexander Korolyuk,20032004,SJS,L,L,63,19,18,37,20,18,0.59,15,31,4,6,0,0,2,108,17.6,14:55,50
Jeff Friesen,20032004,NJD,L,L,81,17,20,37,8,26,0.46,12,26,5,11,0,0,4,177,9.6,15:08,45.2
Vladimir Orszagh,20032004,NSH,L,L,82,16,21,37,-4,74,0.45,12,27,2,6,2,4,3,124,12.9,17:00,25.6
Mike Van Ryn,20032004,FLA,R,D,79,13,24,37,-16,52,0.47,6,18,6,18,1,1,0,136,9.6,24:26:00,33.3
Randy Robitaille,20032004,ATL,L,C,69,11,26,37,-12,20,0.54,6,23,5,14,0,0,2,121,9.1,15:51,50.2
Jozef Stumpel,20032004,LAK,R,L,64,8,29,37,5,16,0.58,4,25,4,10,0,2,0,78,10.3,18:46,49.3
Geoff Sanderson,20032004,"CBJ,VAN",L,L,80,16,20,36,-10,38,0.45,10,24,6,12,0,0,2,227,7,16:05,44
Trevor Linden,20032004,VAN,R,C,82,14,22,36,-6,26,0.44,10,27,4,9,0,0,1,97,14.4,16:17,55.8
Alexei Zhamnov,20032004,"CHI,PHI",L,C,43,11,25,36,-1,28,0.84,10,27,1,8,0,1,1,96,11.5,19:05,48
Paul Kariya,20032004,COL,L,L,51,11,25,36,-5,22,0.71,5,20,5,14,1,2,1,110,10,18:37,27.8
Brian Rafalski,20032004,NJD,R,D,69,6,30,36,6,24,0.52,4,17,2,18,0,1,1,130,4.6,22:48,--
Mark Parrish,20032004,NYI,R,R,59,24,11,35,8,18,0.59,18,28,6,7,0,0,6,105,22.9,17:20,20
Pavel Kubina,20032004,TBL,R,D,81,17,18,35,9,85,0.43,8,22,8,12,1,1,4,153,11.1,21:09,0
