Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
Marcel Hossa,20032004,MTL,L,L,15,1,1,2,-3,8,0.13,1,2,0,0,0,0,0,19,5.3,14:50,40
Lubomir Sekeras,20032004,DAL,L,D,4,1,1,2,0,2,0.5,1,2,0,0,0,0,0,2,50,16:30,--
Dale Purinton,20032004,NYR,L,D,40,1,1,2,-9,117,0.05,1,2,0,0,0,0,0,31,3.2,12:47,--
Kamil Piros,20032004,"ATL,FLA",L,R,17,1,1,2,-4,4,0.12,0,0,1,2,0,0,0,11,9.1,9:25,27.3
Jaroslav Bednar,20032004,FLA,R,C,13,1,1,2,2,4,0.15,1,2,0,0,0,0,0,19,5.3,13:02,43.9
Darryl Bootland,20032004,DET,R,R,22,1,1,2,-3,74,0.09,1,2,0,0,0,0,1,13,7.7,6:07,100
Brett Clark,20032004,COL,L,D,12,1,1,2,3,6,0.17,1,2,0,0,0,0,0,14,7.1,10:26,--
Bruno St. Jacques,20032004,CAR,L,D,35,0,2,2,-7,31,0.06,0,2,0,0,0,0,0,16,0,11:50,--
Jim Fahey,20032004,SJS,R,D,15,0,2,2,-2,18,0.13,0,1,0,1,0,0,0,19,0,16:54,--
Reed Low,20032004,STL,R,R,57,0,2,2,-6,141,0.04,0,2,0,0,0,0,0,28,0,5:42,--
Anton Babchuk,20032004,CHI,R,D,5,0,2,2,-1,2,0.4,0,1,0,1,0,0,0,11,0,12:43,--
Eric Manlow,20032004,NYI,L,C,18,0,2,2,-2,2,0.11,0,2,0,0,0,0,0,10,0,10:13,53.9
Brad Norton,20032004,"LAK,WSH",L,D,36,0,2,2,-5,94,0.06,0,2,0,0,0,0,0,16,0,10:28,--
John Slaney,20032004,PHI,L,D,4,0,2,2,0,0,0.5,0,1,0,1,0,0,0,0,--,13:38,--
Lynn Loyns,20032004,"SJS,CGY",L,C,14,0,2,2,-3,2,0.14,0,1,0,0,0,1,0,6,0,10:41,44.2
Mike Bishai,20032004,EDM,L,C,14,0,2,2,0,19,0.14,0,2,0,0,0,0,0,14,0,9:09,41.6
Darcy Verot,20032004,WSH,L,C,37,0,2,2,-6,135,0.05,0,1,0,0,0,1,0,11,0,8:48,48.6
Todd Reirden,20032004,PHX,L,D,7,0,2,2,-4,4,0.29,0,1,0,0,0,1,0,9,0,15:22,--
Kevin Miller,20032004,DET,R,C,4,0,2,2,2,0,0.5,0,2,0,0,0,0,0,2,0,7:21,75
Al MacInnis,20032004,STL,R,D,3,0,2,2,-1,6,0.67,0,0,0,2,0,0,0,9,0,24:59:00,--
Charlie Stephens,20032004,COL,R,C,6,0,2,2,-1,4,0.33,0,2,0,0,0,0,0,1,0,6:12,45.5
Josh Olson,20032004,FLA,L,L,5,1,0,1,1,0,0.2,1,1,0,0,0,0,0,6,16.7,8:17,--
Dan Fritsche,20032004,CBJ,R,C,19,1,0,1,-5,12,0.05,1,1,0,0,0,0,0,19,5.3,8:24,38.1
John Gruden,20032004,WSH,L,D,11,1,0,1,-1,6,0.09,1,1,0,0,0,0,1,7,14.3,13:18,--
Peter Sarno,20032004,EDM,L,C,6,1,0,1,2,2,0.17,1,1,0,0,0,0,0,5,20,10:15,52.5
Rob Skrlac,20032004,NJD,L,L,8,1,0,1,1,22,0.13,1,1,0,0,0,0,1,3,33.3,2:15,--
Martin Grenier,20032004,VAN,L,D,7,1,0,1,3,9,0.14,1,1,0,0,0,0,0,6,16.7,6:50,--
Pat Kavanagh,20032004,VAN,R,R,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,1,100,7:58,52.4
Shawn Thornton,20032004,CHI,R,L,8,1,0,1,2,23,0.13,1,1,0,0,0,0,0,14,7.1,11:14,42.1
Rob Ray,20032004,OTT,L,R,6,1,0,1,0,14,0.17,1,1,0,0,0,0,0,3,33.3,4:40,--
Chad Wiseman,20032004,NYR,L,L,4,1,0,1,-1,0,0.25,1,1,0,0,0,0,0,3,33.3,8:49,--
Milan Michalek,20032004,SJS,L,L,2,1,0,1,1,4,0.5,1,1,0,0,0,0,0,1,100,9:05,--
Brad Fast,20032004,CAR,L,D,1,1,0,1,1,0,1,1,1,0,0,0,0,0,4,25,21:24,--
Garth Murray,20032004,NYR,L,C,20,1,0,1,-5,24,0.05,1,1,0,0,0,0,0,18,5.6,9:16,20
Donald MacLean,20032004,CBJ,L,C,4,1,0,1,-1,0,0.25,1,1,0,0,0,0,0,10,10,11:41,58.1
Antti Miettinen,20032004,DAL,R,R,16,1,0,1,-9,0,0.06,1,1,0,0,0,0,1,17,5.9,9:51,0
Kip Brennan,20032004,"LAK,ATL",L,L,23,1,0,1,-1,96,0.04,1,1,0,0,0,0,0,8,12.5,4:43,--
Steve Martins,20032004,STL,L,C,25,1,0,1,-7,22,0.04,0,0,0,0,1,1,0,27,3.7,10:29,61
Brandon Reid,20032004,VAN,R,C,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,2,0,9:21,47.4
Bryan Helmer,20032004,PHX,R,D,17,0,1,1,-5,10,0.06,0,1,0,0,0,0,0,10,0,12:46,--
Jiri Bicek,20032004,NJD,L,R,12,0,1,1,0,0,0.08,0,1,0,0,0,0,0,10,0,9:55,0
Roman Tvrdon,20032004,WSH,L,C,9,0,1,1,-3,2,0.11,0,1,0,0,0,0,0,7,0,10:41,35.5
Riku Hahl,20032004,COL,L,C,28,0,1,1,-7,12,0.04,0,1,0,0,0,0,0,40,0,12:17,41.1
Christian Laflamme,20032004,STL,R,D,16,0,1,1,-3,20,0.06,0,1,0,0,0,0,0,9,0,13:00,--
Kris Beech,20032004,PIT,L,C,4,0,1,1,0,6,0.25,0,0,0,1,0,0,0,6,0,12:32,40
Matt Walker,20032004,STL,R,D,14,0,1,1,0,25,0.07,0,1,0,0,0,0,0,8,0,11:23,--
Jeremy Reich,20032004,CBJ,L,C,9,0,1,1,-3,20,0.11,0,1,0,0,0,0,0,3,0,7:38,--
Darrel Scoville,20032004,CBJ,L,D,8,0,1,1,-4,6,0.13,0,1,0,0,0,0,0,5,0,19:14,--
Karl Stewart,20032004,ATL,L,L,5,0,1,1,0,4,0.2,0,1,0,0,0,0,0,2,0,4:27,10
Michal Barinka,20032004,CHI,L,D,9,0,1,1,-5,6,0.11,0,1,0,0,0,0,0,15,0,13:48,--
Kyle Rossiter,20032004,"FLA,ATL",L,D,6,0,1,1,0,7,0.17,0,1,0,0,0,0,0,1,0,11:21,--
Sergei Zinovjev,20032004,BOS,L,C,10,0,1,1,1,2,0.1,0,1,0,0,0,0,0,8,0,9:48,41.7
Jeff Finley,20032004,STL,L,D,53,0,1,1,-9,34,0.02,0,0,0,0,0,1,0,25,0,17:05,--
Kirby Law,20032004,PHI,R,R,6,0,1,1,0,2,0.17,0,1,0,0,0,0,0,1,0,8:10,--
Stan Neckar,20032004,NSH,L,D,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,--,14:59,--
Noah Clarke,20032004,LAK,L,L,2,0,1,1,1,0,0.5,0,1,0,0,0,0,0,3,0,9:39,--
Damian Surma,20032004,CAR,L,L,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,--,9:26,--
Eric Godard,20032004,NYI,R,R,31,0,1,1,-2,97,0.03,0,1,0,0,0,0,0,5,0,3:46,0
Kurtis Foster,20032004,ATL,R,D,3,0,1,1,0,0,0.33,0,1,0,0,0,0,0,1,0,6:58,--
Lee Goren,20032004,FLA,R,R,2,0,1,1,-4,0,0.5,0,0,0,1,0,0,0,1,0,13:20,100
Quintin Laing,20032004,CHI,L,L,3,0,1,1,1,0,0.33,0,1,0,0,0,0,0,3,0,11:57,--
Bryan Muir,20032004,LAK,L,D,2,0,1,1,1,2,0.5,0,0,0,0,0,1,0,2,0,17:56,--
Brian Swanson,20032004,ATL,L,C,2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,--,6:35,29.4
Sean Pronger,20032004,VAN,L,C,3,0,1,1,-1,4,0.33,0,1,0,0,0,0,0,6,0,10:17,42.9
Denis Grebeshkov,20032004,LAK,L,D,4,0,1,1,-4,0,0.25,0,1,0,0,0,0,0,5,0,18:29,--
Pierre Hedin,20032004,TOR,L,D,3,0,1,1,-1,0,0.33,0,1,0,0,0,0,0,4,0,19:20,--
Travis Roche,20032004,MIN,R,D,5,0,1,1,-3,0,0.2,0,0,0,1,0,0,0,5,0,16:07,--
Tomas Kloucek,20032004,"NSH,ATL",L,D,42,0,1,1,-5,35,0.02,0,1,0,0,0,0,0,12,0,8:26,--
Chris Armstrong,20032004,ANA,L,D,4,0,1,1,-1,0,0.25,0,1,0,0,0,0,0,8,0,12:32,--
Alexei Smirnov,20032004,ANA,L,L,8,0,1,1,0,2,0.13,0,1,0,0,0,0,0,8,0,7:17,0
Brooks Laich,20032004,"OTT,WSH",L,C,5,0,1,1,-1,2,0.2,0,1,0,0,0,0,0,3,0,10:35,50
Owen Fussey,20032004,WSH,L,R,4,0,1,1,-1,0,0.25,0,1,0,0,0,0,0,6,0,8:16,--
Derek MacKenzie,20032004,ATL,L,C,12,0,1,1,0,10,0.08,0,1,0,0,0,0,0,7,0,6:38,46
Chris McAllister,20032004,"COL,NYR",L,L,46,0,1,1,-6,74,0.02,0,1,0,0,0,0,0,19,0,7:28,50
Doug Doull,20032004,BOS,L,L,35,0,1,1,2,132,0.03,0,1,0,0,0,0,0,4,0,2:50,--
Fedor Fedorov,20032004,VAN,L,L,8,0,1,1,0,4,0.13,0,1,0,0,0,0,0,10,0,10:59,50
Kyle Wanvig,20032004,MIN,R,R,6,0,1,1,-2,10,0.17,0,1,0,0,0,0,0,16,0,13:48,75
Matt Ellison,20032004,CHI,R,R,10,0,1,1,-3,0,0.1,0,1,0,0,0,0,0,4,0,12:40,39.1
Daniel Corso,20032004,ATL,L,C,7,0,1,1,-2,0,0.14,0,1,0,0,0,0,0,2,0,12:59,47.6
Dwayne Zinger,20032004,WSH,L,D,7,0,1,1,2,9,0.14,0,1,0,0,0,0,0,0,--,5:24,--
Maxim Kuznetsov,20032004,LAK,L,D,16,0,1,1,-5,20,0.06,0,1,0,0,0,0,0,11,0,15:11,--
Scottie Upshall,20032004,NSH,L,R,7,0,1,1,-2,0,0.14,0,0,0,1,0,0,0,6,0,9:11,37.5
Serge Payer,20032004,OTT,L,C,5,0,1,1,1,2,0.2,0,1,0,0,0,0,0,2,0,10:30,46.5
Benoit Gratton,20032004,MTL,L,C,4,0,1,1,0,4,0.25,0,1,0,0,0,0,0,3,0,9:44,54.8
Lasse Kukkonen,20032004,CHI,L,D,10,0,1,1,-2,4,0.1,0,1,0,0,0,0,0,9,0,13:37,--
Carlo Colaiacovo,20032004,TOR,L,D,2,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,--,13:56,--
John Erskine,20032004,DAL,L,D,32,0,1,1,-9,84,0.03,0,1,0,0,0,0,0,23,0,12:36,--
Tony Salmelainen,20032004,EDM,R,L,13,0,1,1,-1,4,0.08,0,1,0,0,0,0,0,17,0,9:39,--
Cory Larose,20032004,NYR,R,C,7,0,1,1,-2,4,0.14,0,1,0,0,0,0,0,10,0,11:27,47.5
Kyle Rossiter,20032004,"FLA,ATL",L,D,6,0,1,1,0,7,0.17,0,1,0,0,0,0,0,1,0,11:21,--
Chris McAllister,20032004,"COL,NYR",L,L,46,0,1,1,-6,74,0.02,0,1,0,0,0,0,0,19,0,7:28,50
Karl Stewart,20032004,ATL,L,L,5,0,1,1,0,4,0.2,0,1,0,0,0,0,0,2,0,4:27,10
Tony Salmelainen,20032004,EDM,R,L,13,0,1,1,-1,4,0.08,0,1,0,0,0,0,0,17,0,9:39,--
Timofei Shishkanov,20032004,NSH,R,R,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,--,6:32,--
Richard Scott,20032004,NYR,L,R,5,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,6:01,100
Karl Dykhuis,20032004,MTL,L,D,9,0,0,0,-2,2,0,0,0,0,0,0,0,0,6,0,13:02,0
Andrei Podkonicky,20032004,WSH,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,3:34,--
Graham Mink,20032004,WSH,R,R,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,--,5:32,0
Tomas Malec,20032004,CAR,L,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,9:32,--
Doug Lynch,20032004,EDM,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10:16,--
Josh Holden,20032004,TOR,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:32,--
Zenith Komarniski,20032004,CBJ,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14:48,--
Goran Bezina,20032004,PHX,L,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,--,5:17,--
Jason Jaspers,20032004,PHX,L,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,3,0,11:24,57.9
Mathieu Darche,20032004,NSH,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,6:39,--
Aleksander Suglobov,20032004,NJD,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8:18,--
Jeff Hamilton,20032004,NYI,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:00,--
Nathan Smith,20032004,VAN,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,5:16,33.3
Brad Boyes,20032004,SJS,R,R,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,--,13:03,--
Mikhail Kuleshov,20032004,COL,R,L,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,4,0,11:19,--
Ryan Barnes,20032004,DET,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:22,--
Casey Hankinson,20032004,ANA,L,L,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,--,6:20,100
Joe Motzko,20032004,CBJ,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7:16,--
Libor Pivko,20032004,NSH,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6:50,--
Jean-Francois Fortin,20032004,WSH,R,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:57,--
Jeremy Yablonski,20032004,STL,R,R,1,0,0,0,-1,5,0,0,0,0,0,0,0,0,1,0,7:53,--
Michael Farrell,20032004,NSH,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:08,--
Steve Kelly,20032004,LAK,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10:30,43.3
Tomas Plekanec,20032004,MTL,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:02,45.5
Mike Stuart,20032004,STL,R,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:31,--
Tomi Pettinen,20032004,NYI,L,D,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,2,0,10:24,--
Freddy Meyer,20032004,PHI,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15:24,--
Mike Weaver,20032004,ATL,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,--,8:28,--
Norman Milley,20032004,BUF,R,R,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,8:20,--
Ken Gernander,20032004,NYR,L,R,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,--,6:38,--
Benoit Dusablon,20032004,NYR,L,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,3,0,8:19,42.9
Brett Lysak,20032004,CAR,L,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,--,3:24,0
Scott Pellerin,20032004,STL,L,L,2,0,0,0,-3,2,0,0,0,0,0,0,0,0,1,0,14:05,0
Domenic Pittis,20032004,BUF,L,C,4,0,0,0,-1,4,0,0,0,0,0,0,0,0,3,0,11:37,53.2
Melvin Angelstad,20032004,WSH,L,L,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,13:00,--
Miroslav Zalesak,20032004,SJS,L,R,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,0,12:02,--
Garret Stroshein,20032004,WSH,R,R,3,0,0,0,-1,14,0,0,0,0,0,0,0,0,2,0,7:16,--
Layne Ulmer,20032004,NYR,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,9:27,75
Jeff MacMillan,20032004,DAL,L,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,3,0,8:19,--
Mark Popovic,20032004,ANA,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13:48,--
Aris Brimanis,20032004,STL,R,D,13,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,12:02,100
Julien Vauclair,20032004,OTT,L,D,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,--,12:48,--
Jordan Krestanovich,20032004,COL,L,L,14,0,0,0,0,6,0,0,0,0,0,0,0,0,25,0,10:08,23.8
Ivan Huml,20032004,BOS,L,L,7,0,0,0,-3,6,0,0,0,0,0,0,0,0,11,0,9:13,--
Dan Bylsma,20032004,ANA,L,L,11,0,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,7:04,53.9
Patrick Leahy,20032004,BOS,R,R,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5:27,--
Nathan Robinson,20032004,DET,L,L,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,5,0,6:01,--
Gavin Morgan,20032004,DAL,R,C,6,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,5:49,70
Vernon Fiddler,20032004,NSH,L,C,17,0,0,0,-6,23,0,0,0,0,0,0,0,0,8,0,8:06,49.6
Steve Gainey,20032004,DAL,L,L,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,--,5:27,--
Grant McNeill,20032004,FLA,L,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,--,2:43,--
Robert Valicevic,20032004,DAL,R,R,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,4,0,7:50,48.1
Patrick Rissmiller,20032004,SJS,L,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7:07,53.9
Darren Rumble,20032004,TBL,L,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,5,0,11:34,--
Jason MacDonald,20032004,NYR,R,R,4,0,0,0,-1,19,0,0,0,0,0,0,0,0,3,0,8:11,--
Chris Hajt,20032004,WSH,L,D,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10:44,--
Ty Jones,20032004,FLA,R,R,6,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,3:05,--
Peter White,20032004,PHI,L,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,2,0,6:25,30
Boyd Kane,20032004,PHI,L,L,7,0,0,0,-4,7,0,0,0,0,0,0,0,0,6,0,9:56,33.3
Gregory Campbell,20032004,FLA,L,C,2,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,--,9:09,0
Maxim Kondratiev,20032004,TOR,L,D,7,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,15:36,--
Matthew Spiller,20032004,PHX,L,D,51,0,0,0,-11,54,0,0,0,0,0,0,0,0,22,0,10:42,--
Nolan Yonkman,20032004,WSH,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:00,--
Joey Tetarenko,20032004,CAR,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,3:31,0
Jamie Pushor,20032004,"CBJ,NYR",R,D,14,0,0,0,-5,2,0,0,0,0,0,0,0,0,10,0,13:10,--
Paul Healey,20032004,NYR,R,R,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,4:50,0
John Pohl,20032004,STL,R,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,8:18,55.5
Jame Pollock,20032004,STL,R,D,9,0,0,0,-1,6,0,0,0,0,0,0,0,0,19,0,15:25,--
Blake Sloan,20032004,DAL,R,R,28,0,0,0,-1,7,0,0,0,0,0,0,0,0,23,0,7:11,0
Kristian Kudroc,20032004,FLA,R,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,--,7:15,--
Clarke Wilm,20032004,TOR,L,C,10,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,11:45,46.5
Bill Lindsay,20032004,ATL,L,L,24,0,0,0,-6,25,0,0,0,0,0,0,0,0,10,0,5:55,50
Steve McLaren,20032004,STL,L,L,6,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,2:47,--
Steve Webb,20032004,"PIT,NYI",R,R,10,0,0,0,-4,4,0,0,0,0,0,0,0,0,3,0,5:08,0
Mike Peluso,20032004,PHI,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9:34,--
Kyle Wellwood,20032004,TOR,R,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,7:56,30.8
Jani Rita,20032004,EDM,R,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4:34,--
Chris Kelly,20032004,OTT,L,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,4,0,9:29,40
Tomas Kurka,20032004,CAR,L,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8:45,--
Kris Vernarsky,20032004,BOS,L,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,--,6:33,33.3
Denis Hamel,20032004,OTT,L,L,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,6:16,100
Denis Shvidki,20032004,FLA,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14:05,--
Doug Janik,20032004,BUF,L,D,4,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,8:26,--
Bryce Lampman,20032004,NYR,L,D,8,0,0,0,-4,0,0,0,0,0,0,0,0,0,7,0,19:34,--
Mike Stutzel,20032004,PHX,L,L,9,0,0,0,-4,0,0,0,0,0,0,0,0,0,3,0,5:47,0
Jody Hull,20032004,OTT,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:51,--
Reid Simpson,20032004,PIT,L,L,2,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,4:46,--
Gordie Dwyer,20032004,MTL,L,L,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,--,5:55,--
P.J. Stock,20032004,BOS,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6:04,50
Chris Higgins,20032004,MTL,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:18,22.2
Martin Samuelsson,20032004,BOS,L,L,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,7,0,5:38,0
Mike Siklenka,20032004,NYR,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:22,--
Mike Pandolfo,20032004,CBJ,L,L,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,3,0,8:18,--
Tuomas Pihlman,20032004,NJD,L,L,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6:56,--
Nathan Smith,20032004,VAN,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,5:16,33.3
Patrick Rissmiller,20032004,SJS,L,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7:07,53.9
Steve Gainey,20032004,DAL,L,L,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,--,5:27,--
Zdenek Kutlak,20032004,BOS,L,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,--,11:33,--
Steve Kelly,20032004,LAK,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10:30,43.3
Richard Scott,20032004,NYR,L,R,5,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,6:01,100
Doug Janik,20032004,BUF,L,D,4,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,8:26,--
Jani Rita,20032004,EDM,R,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4:34,--
Steve Webb,20032004,"PIT,NYI",R,R,10,0,0,0,-4,4,0,0,0,0,0,0,0,0,3,0,5:08,0
Robert Valicevic,20032004,DAL,R,R,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,4,0,7:50,48.1
Jeff MacMillan,20032004,DAL,L,D,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,3,0,8:19,--
Melvin Angelstad,20032004,WSH,L,L,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,13:00,--
Patrick Leahy,20032004,BOS,R,R,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5:27,--
Denis Hamel,20032004,OTT,L,L,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,6,0,6:16,100
Blake Sloan,20032004,DAL,R,R,28,0,0,0,-1,7,0,0,0,0,0,0,0,0,23,0,7:11,0
Jason MacDonald,20032004,NYR,R,R,4,0,0,0,-1,19,0,0,0,0,0,0,0,0,3,0,8:11,--